id,type,token,location,code
252,DECLAREDREFERENCEEXPRESSION,"N",Freckles.java(28:19-28:20),"N"
253,LITERAL,"",Freckles.java(28:21-28:22),"1"
254,NEWEXPRESSION,"",Freckles.java(26:33-26:58),"new PriorityQueue<Link>()"
255,CONSTRUCTEXPRESSION,"",Freckles.java(26:33-26:58),"new PriorityQueue<Link>()"
256,PARAMVARIABLEDECLARATION,"doublePtrPtr0",,""
257,CALLEXPRESSION,"min",Freckles.java(98:12-98:22),"min(graph)"
258,DECLAREDREFERENCEEXPRESSION,"graph",Freckles.java(98:16-98:21),"graph"
259,PARAMVARIABLEDECLARATION,"java.util.linkedlist0",,""
260,CALLEXPRESSION,"min",Freckles.java(87:12-87:25),"min(vertices)"
261,DECLAREDREFERENCEEXPRESSION,"vertices",Freckles.java(87:16-87:24),"vertices"
262,LITERAL,"",Freckles.java(6:21-6:22),"0"
263,FIELDDECLARATION,"this",,""
264,FIELDDECLARATION,"prev",Freckles.java(85:5-85:16),"prev"
265,FIELDDECLARATION,"x",Freckles.java(87:5-87:14),"x"
266,FIELDDECLARATION,"y",Freckles.java(88:5-88:14),"y"
267,METHODDECLARATION,"compareTo",Freckles.java(97:5-105:6),"public int compareTo(Point a)
    {
    if(a.x==x && a.y==y)
        return 0;
    else if(a.x>x)
        return -1;
    else
        return 1;
    }"
268,METHODDECLARATION,"FindParent",Freckles.java(106:5-124:6),"public Point FindParent()
    {
    if(prev==this)
        return this;
    else
        {
        Freckles.rank++;
        prev=prev.FindParent();
        }
    if(prev!=this)
        {
        Freckles.rank++;
        Point parent=prev.FindParent();
        prev=parent;
        return parent;
        }
    return this;

    }"
269,METHODDECLARATION,"UniteRoots",Freckles.java(126:5-129:6),"public void UniteRoots(Point a)
    {
    a.prev=this;
    }"
270,CONSTRUCTORDECLARATION,"Point",Freckles.java(90:5-96:6),"Point(double X,double Y)
    {
    prev=this;

    x=X;
    y=Y;
    }"
271,COMPOUNDSTATEMENT,"",Freckles.java(91:5-96:6),"{
    prev=this;

    x=X;
    y=Y;
    }"
272,PARAMVARIABLEDECLARATION,"X",Freckles.java(90:11-90:19),"double X"
273,PARAMVARIABLEDECLARATION,"Y",Freckles.java(90:20-90:28),"double Y"
274,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(92:5-92:9),"this"
275,RETURNSTATEMENT,"",,""
276,BINARYOPERATOR,"=",Freckles.java(92:5-92:15),"prev=this;"
277,BINARYOPERATOR,"=",Freckles.java(94:5-94:9),"x=X;"
278,BINARYOPERATOR,"=",Freckles.java(95:5-95:9),"y=Y;"
279,MEMBEREXPRESSION,"y",Freckles.java(95:5-95:6),"y"
280,DECLAREDREFERENCEEXPRESSION,"Y",Freckles.java(95:7-95:8),"Y"
281,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(95:5-95:6),"this"
282,MEMBEREXPRESSION,"x",Freckles.java(94:5-94:6),"x"
283,DECLAREDREFERENCEEXPRESSION,"X",Freckles.java(94:7-94:8),"X"
284,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(94:5-94:6),"this"
285,MEMBEREXPRESSION,"prev",Freckles.java(92:5-92:9),"prev"
286,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(92:10-92:14),"this"
287,VARIABLEDECLARATION,"this",,""
288,COMPOUNDSTATEMENT,"",Freckles.java(107:5-124:6),"{
    if(prev==this)
        return this;
    else
        {
        Freckles.rank++;
        prev=prev.FindParent();
        }
    if(prev!=this)
        {
        Freckles.rank++;
        Point parent=prev.FindParent();
        prev=parent;
        return parent;
        }
    return this;

    }"
289,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(108:8-108:12),"this"
290,RETURNSTATEMENT,"",Freckles.java(122:5-122:17),"return this;"
291,IFSTATEMENT,"",Freckles.java(108:5-114:10),"if(prev==this)
        return this;
    else
        {
        Freckles.rank++;
        prev=prev.FindParent();
        }"
292,IFSTATEMENT,"",Freckles.java(115:5-121:10),"if(prev!=this)
        {
        Freckles.rank++;
        Point parent=prev.FindParent();
        prev=parent;
        return parent;
        }"
293,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(122:12-122:16),"this"
294,BINARYOPERATOR,"!=",Freckles.java(115:8-115:18),"prev!=this"
295,COMPOUNDSTATEMENT,"",Freckles.java(116:9-121:10),"{
        Freckles.rank++;
        Point parent=prev.FindParent();
        prev=parent;
        return parent;
        }"
296,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(117:9-117:17),"Freckles"
297,MEMBEREXPRESSION,"prev",Freckles.java(115:8-115:12),"prev"
298,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(115:14-115:18),"this"
299,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(115:8-115:12),"this"
300,COMPOUNDSTATEMENT,"",Freckles.java(111:9-114:10),"{
        Freckles.rank++;
        prev=prev.FindParent();
        }"
301,UNARYOPERATOR,"++",Freckles.java(117:9-117:25),"Freckles.rank++;"
302,DECLARATIONSTATEMENT,"",Freckles.java(118:9-118:40),"Point parent=prev.FindParent();"
303,BINARYOPERATOR,"=",Freckles.java(119:9-119:21),"prev=parent;"
304,RETURNSTATEMENT,"",Freckles.java(120:9-120:23),"return parent;"
305,VARIABLEDECLARATION,"parent",Freckles.java(118:15-118:39),"parent=prev.FindParent()"
306,MEMBERCALLEXPRESSION,"FindParent",Freckles.java(118:22-118:39),"prev.FindParent()"
307,DECLAREDREFERENCEEXPRESSION,"FindParent",Freckles.java(118:27-118:37),"FindParent"
308,MEMBEREXPRESSION,"prev",Freckles.java(118:22-118:26),"prev"
309,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(118:22-118:26),"this"
310,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(119:9-119:13),"this"
311,MEMBEREXPRESSION,"prev",Freckles.java(119:9-119:13),"prev"
312,DECLAREDREFERENCEEXPRESSION,"parent",Freckles.java(119:14-119:20),"parent"
313,DECLAREDREFERENCEEXPRESSION,"parent",Freckles.java(120:16-120:22),"parent"
314,MEMBEREXPRESSION,"rank",Freckles.java(117:9-117:22),"Freckles.rank"
315,BINARYOPERATOR,"==",Freckles.java(108:8-108:18),"prev==this"
316,RETURNSTATEMENT,"",Freckles.java(109:9-109:21),"return this;"
317,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(109:16-109:20),"this"
318,DECLAREDREFERENCEEXPRESSION,"Freckles",Freckles.java(112:9-112:17),"Freckles"
319,MEMBEREXPRESSION,"prev",Freckles.java(108:8-108:12),"prev"
320,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(108:14-108:18),"this"
321,UNARYOPERATOR,"++",Freckles.java(112:9-112:25),"Freckles.rank++;"
322,BINARYOPERATOR,"=",Freckles.java(113:9-113:32),"prev=prev.FindParent();"
323,MEMBEREXPRESSION,"rank",Freckles.java(112:9-112:22),"Freckles.rank"
324,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(113:9-113:13),"this"
325,MEMBEREXPRESSION,"prev",Freckles.java(113:9-113:13),"prev"
326,MEMBERCALLEXPRESSION,"FindParent",Freckles.java(113:14-113:31),"prev.FindParent()"
327,DECLAREDREFERENCEEXPRESSION,"FindParent",Freckles.java(113:19-113:29),"FindParent"
328,MEMBEREXPRESSION,"prev",Freckles.java(113:14-113:18),"prev"
329,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(113:14-113:18),"this"
330,VARIABLEDECLARATION,"this",,""
331,COMPOUNDSTATEMENT,"",Freckles.java(127:5-129:6),"{
    a.prev=this;
    }"
332,PARAMVARIABLEDECLARATION,"a",Freckles.java(126:28-126:35),"Point a"
333,DECLAREDREFERENCEEXPRESSION,"a",Freckles.java(128:5-128:6),"a"
334,RETURNSTATEMENT,"",,""
335,BINARYOPERATOR,"=",Freckles.java(128:5-128:17),"a.prev=this;"
336,MEMBEREXPRESSION,"prev",Freckles.java(128:5-128:11),"a.prev"
337,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(128:12-128:16),"this"
338,VARIABLEDECLARATION,"this",,""
339,COMPOUNDSTATEMENT,"",Freckles.java(98:5-105:6),"{
    if(a.x==x && a.y==y)
        return 0;
    else if(a.x>x)
        return -1;
    else
        return 1;
    }"
340,PARAMVARIABLEDECLARATION,"a",Freckles.java(97:26-97:33),"Point a"
341,DECLAREDREFERENCEEXPRESSION,"a",Freckles.java(99:8-99:9),"a"
342,RETURNSTATEMENT,"",,""
343,IFSTATEMENT,"",Freckles.java(99:5-104:18),"if(a.x==x && a.y==y)
        return 0;
    else if(a.x>x)
        return -1;
    else
        return 1;"
344,BINARYOPERATOR,"&&",Freckles.java(99:8-99:24),"a.x==x && a.y==y"
345,RETURNSTATEMENT,"",Freckles.java(100:9-100:18),"return 0;"
346,IFSTATEMENT,"",Freckles.java(101:10-104:18),"if(a.x>x)
        return -1;
    else
        return 1;"
347,LITERAL,"",Freckles.java(100:16-100:17),"0"
348,DECLAREDREFERENCEEXPRESSION,"a",Freckles.java(101:13-101:14),"a"
349,BINARYOPERATOR,"==",Freckles.java(99:8-99:14),"a.x==x"
350,BINARYOPERATOR,"==",Freckles.java(99:18-99:24),"a.y==y"
351,MEMBEREXPRESSION,"y",Freckles.java(99:18-99:21),"a.y"
352,MEMBEREXPRESSION,"y",Freckles.java(99:23-99:24),"y"
353,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(99:23-99:24),"this"
354,DECLAREDREFERENCEEXPRESSION,"a",Freckles.java(99:18-99:19),"a"
355,MEMBEREXPRESSION,"x",Freckles.java(99:8-99:11),"a.x"
356,MEMBEREXPRESSION,"x",Freckles.java(99:13-99:14),"x"
357,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(99:13-99:14),"this"
358,BINARYOPERATOR,">",Freckles.java(101:13-101:18),"a.x>x"
359,RETURNSTATEMENT,"",Freckles.java(102:9-102:19),"return -1;"
360,RETURNSTATEMENT,"",Freckles.java(104:9-104:18),"return 1;"
361,LITERAL,"",Freckles.java(102:17-102:18),"1"
362,LITERAL,"",Freckles.java(104:16-104:17),"1"
363,UNARYOPERATOR,"-",Freckles.java(102:16-102:18),"-1"
364,MEMBEREXPRESSION,"x",Freckles.java(101:13-101:16),"a.x"
365,MEMBEREXPRESSION,"x",Freckles.java(101:17-101:18),"x"
366,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(101:17-101:18),"this"
367,FIELDDECLARATION,"this",,""
368,FIELDDECLARATION,"a",Freckles.java(134:5-134:11),"a"
369,FIELDDECLARATION,"b",Freckles.java(135:5-135:11),"b"
370,FIELDDECLARATION,"d",Freckles.java(137:5-137:14),"d"
371,METHODDECLARATION,"compareTo",Freckles.java(146:1-155:6),"@Override
    public int compareTo(Link l)
    {
    if(l.d<d)
        return 1;
    else if(l.d>d)
        return -1;
    else
        return 0;
    }"
372,METHODDECLARATION,"toString",Freckles.java(156:5-159:6),"public String toString()
    {
    return new String(""(""+a+"",""+b+"",""+d+"")"");
    }"
373,CONSTRUCTORDECLARATION,"Link",Freckles.java(139:5-144:6),"Link(int A,int B,double D)
    {
    a=A;
    b=B;
    d=D;
    }"
374,VARIABLEDECLARATION,"this",,""
375,COMPOUNDSTATEMENT,"",Freckles.java(157:5-159:6),"{
    return new String(""(""+a+"",""+b+"",""+d+"")"");
    }"
376,LITERAL,"",Freckles.java(158:23-158:26),"""("""
377,RETURNSTATEMENT,"",Freckles.java(158:5-158:46),"return new String(""(""+a+"",""+b+"",""+d+"")"");"
378,NEWEXPRESSION,"",Freckles.java(158:12-158:45),"new String(""(""+a+"",""+b+"",""+d+"")"")"
379,CONSTRUCTEXPRESSION,"",Freckles.java(158:12-158:45),"new String(""(""+a+"",""+b+"",""+d+"")"")"
380,BINARYOPERATOR,"+",Freckles.java(158:23-158:44),"""(""+a+"",""+b+"",""+d+"")"""
381,BINARYOPERATOR,"+",Freckles.java(158:23-158:40),"""(""+a+"",""+b+"",""+d"
382,LITERAL,"",Freckles.java(158:41-158:44),""")"""
383,BINARYOPERATOR,"+",Freckles.java(158:23-158:38),"""(""+a+"",""+b+"","""
384,MEMBEREXPRESSION,"d",Freckles.java(158:39-158:40),"d"
385,BINARYOPERATOR,"+",Freckles.java(158:23-158:34),"""(""+a+"",""+b"
386,LITERAL,"",Freckles.java(158:35-158:38),""","""
387,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(158:39-158:40),"this"
388,BINARYOPERATOR,"+",Freckles.java(158:23-158:32),"""(""+a+"","""
389,MEMBEREXPRESSION,"b",Freckles.java(158:33-158:34),"b"
390,BINARYOPERATOR,"+",Freckles.java(158:23-158:28),"""(""+a"
391,LITERAL,"",Freckles.java(158:29-158:32),""","""
392,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(158:33-158:34),"this"
393,MEMBEREXPRESSION,"a",Freckles.java(158:27-158:28),"a"
394,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(158:27-158:28),"this"
395,COMPOUNDSTATEMENT,"",Freckles.java(140:5-144:6),"{
    a=A;
    b=B;
    d=D;
    }"
396,PARAMVARIABLEDECLARATION,"A",Freckles.java(139:10-139:15),"int A"
397,PARAMVARIABLEDECLARATION,"B",Freckles.java(139:16-139:21),"int B"
398,PARAMVARIABLEDECLARATION,"D",Freckles.java(139:22-139:30),"double D"
399,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(141:5-141:6),"this"
400,RETURNSTATEMENT,"",,""
401,BINARYOPERATOR,"=",Freckles.java(141:5-141:9),"a=A;"
402,BINARYOPERATOR,"=",Freckles.java(142:5-142:9),"b=B;"
403,BINARYOPERATOR,"=",Freckles.java(143:5-143:9),"d=D;"
404,MEMBEREXPRESSION,"d",Freckles.java(143:5-143:6),"d"
405,DECLAREDREFERENCEEXPRESSION,"D",Freckles.java(143:7-143:8),"D"
406,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(143:5-143:6),"this"
407,MEMBEREXPRESSION,"b",Freckles.java(142:5-142:6),"b"
408,DECLAREDREFERENCEEXPRESSION,"B",Freckles.java(142:7-142:8),"B"
409,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(142:5-142:6),"this"
410,MEMBEREXPRESSION,"a",Freckles.java(141:5-141:6),"a"
411,DECLAREDREFERENCEEXPRESSION,"A",Freckles.java(141:7-141:8),"A"
412,VARIABLEDECLARATION,"this",,""
413,COMPOUNDSTATEMENT,"",Freckles.java(148:5-155:6),"{
    if(l.d<d)
        return 1;
    else if(l.d>d)
        return -1;
    else
        return 0;
    }"
414,PARAMVARIABLEDECLARATION,"l",Freckles.java(147:26-147:32),"Link l"
415,DECLAREDREFERENCEEXPRESSION,"l",Freckles.java(149:8-149:9),"l"
416,RETURNSTATEMENT,"",,""
417,IFSTATEMENT,"",Freckles.java(149:5-154:18),"if(l.d<d)
        return 1;
    else if(l.d>d)
        return -1;
    else
        return 0;"
418,BINARYOPERATOR,"<",Freckles.java(149:8-149:13),"l.d<d"
419,RETURNSTATEMENT,"",Freckles.java(150:9-150:18),"return 1;"
420,IFSTATEMENT,"",Freckles.java(151:10-154:18),"if(l.d>d)
        return -1;
    else
        return 0;"
421,LITERAL,"",Freckles.java(150:16-150:17),"1"
422,DECLAREDREFERENCEEXPRESSION,"l",Freckles.java(151:13-151:14),"l"
423,BINARYOPERATOR,">",Freckles.java(151:13-151:18),"l.d>d"
424,RETURNSTATEMENT,"",Freckles.java(152:9-152:19),"return -1;"
425,RETURNSTATEMENT,"",Freckles.java(154:9-154:18),"return 0;"
426,LITERAL,"",Freckles.java(152:17-152:18),"1"
427,LITERAL,"",Freckles.java(154:16-154:17),"0"
428,MEMBEREXPRESSION,"d",Freckles.java(151:13-151:16),"l.d"
429,MEMBEREXPRESSION,"d",Freckles.java(151:17-151:18),"d"
430,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(151:17-151:18),"this"
431,UNARYOPERATOR,"-",Freckles.java(152:16-152:18),"-1"
432,MEMBEREXPRESSION,"d",Freckles.java(149:8-149:11),"l.d"
433,MEMBEREXPRESSION,"d",Freckles.java(149:12-149:13),"d"
434,DECLAREDREFERENCEEXPRESSION,"this",Freckles.java(149:12-149:13),"this"
